probe,sectag,relatedu,firstnum,dis1num,dis2num,bignum,oddeven
手部,脚部, f,0:06,0,0:12,一一,f
商店,店铺, f,0:06,0:02,0:10,二二,j
窗帘,帘幔, f,0:06,0:06,0:06,三三,f
猫咪,小猫, f,0:09,0,0:09,四四,j
思考,沉思, f,0:09,0:02,0:07,五五,f
背包,手袋, j,0:09,0:06,0:03,六六,j
稻草,草草, j,0:06,0,0:12,七七,f
杂草,草根, j,0:06,0:02,0:10,八八,j
承诺,诺言, f,0:06,0:06,0:06,九九,f
利润,亏损, j,0:09,0,0:09,十十,j
脏污,洁净, j,0:09,0:02,0:07,一一,f
葡萄,提子, f,0:09,0:06,0:03,二二,j
通行,过路, f,0:06,0,0:12,三三,f
成熟,老练, f,0:06,0:02,0:10,四四,j
考试,测验, f,0:06,0:06,0:06,五五,f
咳嗽,喷嚏, j,0:09,0,0:09,六六,j
善良,慈善, f,0:09,0:02,0:07,七七,f
篮子,籃筐, f,0:09,0:06,0:03,八八,j
房间,屋室, f,0:06,0,0:12,九九,f
推动,拉扯, j,0:06,0:02,0:10,十十,j
地板,墙壁, j,0:06,0:06,0:06,一一,f
愤怒,怒火, f,0:09,0,0:09,二二,j
盐巴,胡椒, j,0:09,0:02,0:07,三三,f
按压,挤压, f,0:09,0:06,0:03,四四,j
敌人,友人, j,0:06,0,0:12,五五,f
损害,伤害, f,0:06,0:02,0:10,六六,j
刺伤,割伤, f,0:06,0:06,0:06,七七,f
杯子,盏子, f,0:09,0,0:09,八八,j
婴儿,孩童, f,0:09,0:02,0:07,九九,f
邋遢,整洁, j,0:09,0:06,0:03,十十,j
啤酒,酒水, j,0:06,0,0:12,一一,f
巨大,庞大, f,0:06,0:02,0:10,二二,j
船只,艘船, f,0:06,0:06,0:06,三三,f
动物,动物园, j,0:09,0,0:09,四四,j
时间,时钟, j,0:09,0:02,0:07,五五,f
斧头,斧子, f,0:09,0:06,0:03,六六,j
进食,食用, f,0:06,0,0:12,七七,f
讲座,演讲, f,0:06,0:02,0:10,八八,j
马车,车马, j,0:06,0:06,0:06,九九,f
国王,君主, f,0:09,0,0:09,十十,j
果冻,果酱, j,0:09,0:02,0:07,一一,f
椅子,凳子, f,0:09,0:06,0:03,二二,j
虚弱,衰弱, f,0:06,0,0:12,三三,f
沙拉,凉菜, f,0:06,0:02,0:10,四四,j
女人,女士, f,0:06,0:06,0:06,五五,f
嘴唇,唇瓣, f,0:09,0,0:09,六六,j
沙子,细沙, f,0:09,0:02,0:07,七七,f
学校,学院, j,0:09,0:06,0:03,八八,j
归我,归你, j,0:06,0,0:12,九九,f
小麦,麦子, f,0:06,0:02,0:10,十十,j
宝石,珠宝, f,0:06,0:06,0:06,一一,f
口渴,清水, j,0:09,0,0:09,二二,j
拳头,拳击, j,0:09,0:02,0:07,三三,f
青柠,柠檬, j,0:09,0:06,0:03,四四,j
剃刀,刮刀, f,0:06,0,0:12,五五,f
地球,星球, f,0:06,0:02,0:10,六六,j
坐标,地图, j,0:06,0:06,0:06,七七,f
赌博,赌注, j,0:09,0,0:09,八八,j
床铺,卧床, f,0:09,0:02,0:07,九九,f
九个,九位, j,0:09,0:06,0:03,十十,j
盘子,碟子, f,0:06,0,0:12,一一,f
汽车,轿车, f,0:06,0:02,0:10,二二,j
烟草,烟丝, j,0:06,0:06,0:06,三三,f
蓝天,青空, f,0:09,0,0:09,四四,j
杀害,杀戮, f,0:09,0:02,0:07,五五,f
黄油,奶油, j,0:09,0:06,0:03,六六,j
午餐,午饭, f,0:06,0,0:12,七七,f
黄铜,黄金, j,0:06,0:02,0:10,八八,j
我方,你方, j,0:06,0:06,0:06,九九,f
瓦片,屋顶, j,0:09,0,0:09,十十,j
长凳,沙发, j,0:09,0:02,0:07,一一,f
姓名,地址, j,0:09,0:06,0:03,二二,j
高处,高点, f,0:06,0,0:12,三三,f
慢跑,快跑, j,0:06,0:02,0:10,四四,j
愿望,心愿, f,0:06,0:06,0:06,五五,f
棋盘,棋局, f,0:09,0,0:09,六六,j
清朗,云雾, j,0:09,0:02,0:07,七七,f
温暖,暖和, f,0:09,0:06,0:03,八八,j
雨雪,冰雹, j,0:06,0,0:12,九九,f
四月,五月, f,0:06,0:02,0:10,十十,j
湿润,潮湿, f,0:06,0:06,0:06,一一,f
