probe,sectag,relatedu,firstnum,dis1num,dis2num,bignum,oddeven
手部,脚部, f,0:06,0,0:12,五五,f
商店,店铺, f,0:06,0:06,0:03,七七,f
窗帘,帘幔, f,0:09,0,0:10,四四,j
猫咪,小猫, f,0:09,0,0:10,七七,f
思考,沉思, f,0:06,0,0:10,九九,f
背包,手袋, j,0:09,0:06,0:10,三三,j
稻草,草草, j,0:09,0:06,0:10,九九,j
杂草,草根, j,0:09,0:06,0:10,十十,j
承诺,诺言, f,0:09,0:02,0:03,三三,j
利润,亏损, j,0:06,0,0:10,六六,f
脏污,洁净, j,0:06,0:02,0:06,二二,f
葡萄,提子, f,0:09,0,0:10,四四,f
通行,过路, f,0:09,0:06,0:10,五五,f
成熟,老练, f,0:09,0:02,0:03,三三,f
考试,测验, f,0:06,0:02,0:03,九九,f
咳嗽,喷嚏, j,0:09,0,0:10,七七,f
善良,慈善, f,0:09,0:02,0:12,九九,f
篮子,籃筐, f,0:06,0:02,0:06,十十,f
房间,屋室, f,0:06,0,0:12,三三,j
推动,拉扯, j,0:06,0,0:07,四四,f
地板,墙壁, j,0:06,0:06,0:12,六六,j
愤怒,怒火, f,0:09,0:02,0:06,六六,f
盐巴,胡椒, j,0:06,0,0:12,二二,j
按压,挤压, f,0:09,0:06,0:10,五五,j
敌人,友人, j,0:09,0:02,0:09,八八,f
损害,伤害, f,0:09,0:02,0:06,五五,j
刺伤,割伤, f,0:06,0,0:03,二二,f
杯子,盏子, f,0:06,0:02,0:03,六六,j
婴儿,孩童, f,0:06,0:06,0:07,一一,j
邋遢,整洁, j,0:06,0:06,0:09,五五,f
啤酒,酒水, j,0:06,0:06,0:06,六六,f
巨大,庞大, f,0:09,0:06,0:09,八八,j
船只,艘船, f,0:09,0:06,0:03,十十,f
动物,动物园, j,0:06,0:06,0:03,七七,f
时间,时钟, j,0:06,0:06,0:09,八八,j
斧头,斧子, f,0:09,0,0:10,五五,j
进食,食用, f,0:06,0,0:09,一一,j
讲座,演讲, f,0:06,0,0:07,六六,f
马车,车马, j,0:06,0:06,0:06,四四,f
国王,君主, f,0:09,0:02,0:09,十十,j
果冻,果酱, j,0:06,0,0:07,六六,j
椅子,凳子, f,0:09,0:02,0:07,五五,f
虚弱,衰弱, f,0:06,0:02,0:12,三三,j
沙拉,凉菜, f,0:09,0,0:07,一一,f
女人,女士, f,0:06,0,0:10,一一,j
嘴唇,唇瓣, f,0:09,0,0:09,八八,f
沙子,细沙, f,0:09,0:06,0:09,三三,j
学校,学院, j,0:06,0:06,0:09,二二,j
归我,归你, j,0:06,0,0:03,六六,j
小麦,麦子, f,0:09,0,0:09,三三,j
宝石,珠宝, f,0:09,0,0:12,三三,j
口渴,清水, j,0:09,0:02,0:10,二二,f
拳头,拳击, j,0:06,0:02,0:07,二二,j
青柠,柠檬, j,0:06,0,0:03,四四,j
剃刀,刮刀, f,0:06,0:02,0:06,四四,j
地球,星球, f,0:09,0,0:06,十十,j
坐标,地图, j,0:06,0:06,0:09,八八,j
赌博,赌注, j,0:06,0:06,0:10,三三,j
床铺,卧床, f,0:09,0:06,0:09,三三,f
九个,九位, j,0:09,0:02,0:09,四四,j
盘子,碟子, f,0:09,0,0:03,一一,f
汽车,轿车, f,0:09,0,0:09,四四,j
烟草,烟丝, j,0:06,0,0:10,一一,f
蓝天,青空, f,0:06,0:06,0:03,七七,f
杀害,杀戮, f,0:09,0:02,0:10,五五,j
黄油,奶油, j,0:09,0:06,0:06,三三,j
午餐,午饭, f,0:06,0:06,0:03,六六,f
黄铜,黄金, j,0:06,0,0:07,二二,j
我方,你方, j,0:06,0:06,0:10,十十,f
瓦片,屋顶, j,0:06,0,0:09,五五,f
长凳,沙发, j,0:06,0:06,0:06,一一,f
姓名,地址, j,0:09,0,0:10,三三,j
高处,高点, f,0:06,0,0:03,四四,f
慢跑,快跑, j,0:09,0:02,0:06,六六,j
愿望,心愿, f,0:09,0:06,0:10,七七,f
棋盘,棋局, f,0:09,0,0:07,一一,f
清朗,云雾, j,0:09,0,0:10,六六,j
温暖,暖和, f,0:06,0,0:09,一一,j
雨雪,冰雹, j,0:09,0:06,0:09,二二,j
四月,五月, f,0:09,0:06,0:10,一一,f
湿润,潮湿, f,0:09,0:06,0:07,四四,f
水果,苹果, j,0:09,0:02,0:12,五五,j
猪肉,牛肉, j,0:09,0:06,0:07,一一,f
爱恋,憎恨, j,0:06,0:02,0:09,六六,j
分钟,小时, j,0:09,0:06,0:06,九九,j
生病,患病, f,0:09,0:06,0:07,七七,j
江河,河流, f,0:09,0,0:09,七七,f
祈祷,祷告, f,0:09,0,0:06,九九,f
黑色,白色, j,0:09,0,0:09,八八,f
湖泊,湖水, f,0:09,0:06,0:12,十十,j
胶水,黏糊, f,0:06,0:06,0:06,七七,j
眼睛,鼻子, j,0:09,0,0:09,八八,f
药片,药丸, f,0:06,0:02,0:06,九九,f
公开,公然, f,0:06,0:06,0:12,二二,j
丝带,带子, j,0:09,0:06,0:07,二二,f
公鸡,母鸡, j,0:06,0,0:09,一一,j
年轻,老迈, j,0:09,0:02,0:09,二二,j
良好,优良, f,0:09,0,0:12,十十,f
英寸,英尺, j,0:09,0,0:10,四四,f
泥土,泥地, f,0:06,0,0:03,一一,j
接收,收取, f,0:06,0:02,0:03,十十,j
压力,压迫, j,0:09,0:06,0:07,八八,j
发出,发射, j,0:09,0:02,0:09,三三,j
钢铁,钢材, f,0:06,0:06,0:07,七七,j
开始,停止, j,0:06,0:06,0:07,七七,j
更近,近些, f,0:06,0:02,0:06,六六,f
狗狗,小狗, f,0:09,0,0:09,一一,j
手臂,臂膀, f,0:09,0:06,0:09,四四,j
咖啡,茶叶, j,0:06,0:02,0:06,八八,j
水平,平面, j,0:06,0:06,0:09,一一,j
农场,农庄, f,0:06,0:02,0:12,五五,j
长久,永久, j,0:06,0:02,0:10,二二,f
